player_name,season,true_total_pts,gp,overall_pct,pts
Giannis Antetokounmpo,2013-14,523.6,77,0.518,6.8
Giannis Antetokounmpo,2014-15,1028.7,81,0.552,12.7
Giannis Antetokounmpo,2015-16,1352.0,80,0.5660000000000001,16.9
Giannis Antetokounmpo,2016-17,1832.0,80,0.599,22.9
Giannis Antetokounmpo,2017-18,2017.5,75,0.598,26.9
Giannis Antetokounmpo,2018-19,1994.3999999999999,72,0.644,27.7
Giannis Antetokounmpo,2019-20,1858.5,63,0.613,29.5
Giannis Antetokounmpo,2020-21,1714.1000000000001,61,0.633,28.1
Giannis Antetokounmpo,2021-22,2003.3,67,0.633,29.9
James Harden,2009-10,752.4,76,0.551,9.9
James Harden,2010-11,1000.4,82,0.598,12.2
James Harden,2011-12,1041.6000000000001,62,0.66,16.8
James Harden,2012-13,2020.1999999999998,78,0.6,25.9
James Harden,2013-14,1854.1999999999998,73,0.618,25.4
James Harden,2014-15,2219.4,81,0.605,27.4
James Harden,2015-16,2378.0,82,0.598,29.0
James Harden,2016-17,2357.1,81,0.613,29.1
James Harden,2017-18,2188.7999999999997,72,0.619,30.4
James Harden,2018-19,2815.8,78,0.616,36.1
James Harden,2019-20,2332.3999999999996,68,0.626,34.3
James Harden,2020-21,1082.4,44,0.618,24.6
James Harden,2021-22,1430.0,65,0.583,22.0
Jayson Tatum,2017-18,1112.0,80,0.586,13.9
Jayson Tatum,2018-19,1240.3,79,0.547,15.7
Jayson Tatum,2019-20,1544.3999999999999,66,0.5670000000000001,23.4
Jayson Tatum,2020-21,1689.6,64,0.5760000000000001,26.4
Jayson Tatum,2021-22,2044.3999999999999,76,0.578,26.9
Joel Embiid,2016-17,626.1999999999999,31,0.584,20.2
Joel Embiid,2017-18,1442.6999999999998,63,0.573,22.9
Joel Embiid,2018-19,1760.0,64,0.593,27.5
Joel Embiid,2019-20,1173.0,51,0.59,23.0
Joel Embiid,2020-21,1453.5,51,0.636,28.5
Joel Embiid,2021-22,2080.8,68,0.616,30.6
Kevin Durant,2007-08,1624.0,80,0.519,20.3
Kevin Durant,2008-09,1872.2,74,0.5770000000000001,25.3
Kevin Durant,2009-10,2468.2000000000003,82,0.607,30.1
Kevin Durant,2010-11,2160.6,78,0.589,27.7
Kevin Durant,2011-12,1848.0,66,0.61,28.0
Kevin Durant,2012-13,2276.1,81,0.647,28.1
Kevin Durant,2013-14,2592.0,81,0.635,32.0
Kevin Durant,2014-15,685.8,27,0.633,25.4
Kevin Durant,2015-16,2030.3999999999999,72,0.634,28.2
Kevin Durant,2016-17,1556.2,62,0.6509999999999999,25.1
Kevin Durant,2017-18,1795.1999999999998,68,0.64,26.4
Kevin Durant,2018-19,2028.0,78,0.631,26.0
Kevin Durant,2020-21,941.5,35,0.6659999999999999,26.9
Kevin Durant,2021-22,1644.5,55,0.634,29.9
LeBron James,2003-04,1651.1,79,0.488,20.9
LeBron James,2004-05,2176.0,80,0.5539999999999999,27.2
LeBron James,2005-06,2480.6,79,0.568,31.4
LeBron James,2006-07,2129.4,78,0.552,27.3
LeBron James,2007-08,2250.0,75,0.568,30.0
LeBron James,2008-09,2300.4,81,0.591,28.4
LeBron James,2009-10,2257.2,76,0.604,29.7
LeBron James,2010-11,2109.2999999999997,79,0.594,26.7
LeBron James,2011-12,1680.2,62,0.605,27.1
LeBron James,2012-13,2036.8,76,0.64,26.8
LeBron James,2013-14,2086.7000000000003,77,0.649,27.1
LeBron James,2014-15,1745.7,69,0.5770000000000001,25.3
LeBron James,2015-16,1922.8,76,0.588,25.3
LeBron James,2016-17,1953.6,74,0.619,26.4
LeBron James,2017-18,2255.0,82,0.621,27.5
LeBron James,2018-19,1507.0,55,0.588,27.4
LeBron James,2019-20,1695.1000000000001,67,0.5770000000000001,25.3
LeBron James,2020-21,1125.0,45,0.602,25.0
LeBron James,2021-22,1696.8,56,0.619,30.3
Luka Doncic,2018-19,1526.3999999999999,72,0.545,21.2
Luka Doncic,2019-20,1756.8,61,0.585,28.8
Luka Doncic,2020-21,1828.2,66,0.5870000000000001,27.7
Luka Doncic,2021-22,1846.0,65,0.5710000000000001,28.4
Nikola Jokic,2015-16,800.0,80,0.5820000000000001,10.0
Nikola Jokic,2016-17,1219.1,73,0.64,16.7
Nikola Jokic,2017-18,1387.5,75,0.603,18.5
Nikola Jokic,2018-19,1608.0,80,0.589,20.1
Nikola Jokic,2019-20,1452.6999999999998,73,0.605,19.9
Nikola Jokic,2020-21,1900.8,72,0.647,26.4
Nikola Jokic,2021-22,2005.4,74,0.6609999999999999,27.1
Stephen Curry,2009-10,1400.0,80,0.568,17.5
Stephen Curry,2010-11,1376.4,74,0.595,18.6
Stephen Curry,2011-12,382.2,26,0.605,14.7
Stephen Curry,2012-13,1786.1999999999998,78,0.589,22.9
Stephen Curry,2013-14,1872.0,78,0.61,24.0
Stephen Curry,2014-15,1904.0,80,0.638,23.8
Stephen Curry,2015-16,2377.9,79,0.669,30.1
Stephen Curry,2016-17,1998.7,79,0.624,25.3
Stephen Curry,2017-18,1346.3999999999999,51,0.675,26.4
Stephen Curry,2018-19,1883.7,69,0.6409999999999999,27.3
Stephen Curry,2019-20,104.0,5,0.557,20.8
Stephen Curry,2020-21,2016.0,63,0.655,32.0
Stephen Curry,2021-22,1632.0,64,0.601,25.5
Trae Young,2018-19,1547.1000000000001,81,0.539,19.1
Trae Young,2019-20,1776.0,60,0.595,29.6
Trae Young,2020-21,1593.9,63,0.589,25.3
Trae Young,2021-22,2158.4,76,0.603,28.4
